Glottocode,LanguageName,Phoneme,affiliation
aghe1239,AGHEM,ɒ,Niger-Congo
aghe1239,AGHEM,b,Niger-Congo
aghe1239,AGHEM,bv,Niger-Congo
aghe1239,AGHEM,d,Niger-Congo
aghe1239,AGHEM,dz,Niger-Congo
aghe1239,AGHEM,d̠ʒ,Niger-Congo
aghe1239,AGHEM,e,Niger-Congo
aghe1239,AGHEM,ɛ,Niger-Congo
aghe1239,AGHEM,f,Niger-Congo
aghe1239,AGHEM,ɡ,Niger-Congo
aghe1239,AGHEM,ɡb,Niger-Congo
aghe1239,AGHEM,ɣ,Niger-Congo
aghe1239,AGHEM,i,Niger-Congo
aghe1239,AGHEM,ɪ,Niger-Congo
aghe1239,AGHEM,j,Niger-Congo
aghe1239,AGHEM,k,Niger-Congo
aghe1239,AGHEM,kp,Niger-Congo
aghe1239,AGHEM,l,Niger-Congo
aghe1239,AGHEM,m,Niger-Congo
aghe1239,AGHEM,n,Niger-Congo
aghe1239,AGHEM,ɲ,Niger-Congo
aghe1239,AGHEM,ŋ,Niger-Congo
aghe1239,AGHEM,ŋm,Niger-Congo
aghe1239,AGHEM,o,Niger-Congo
aghe1239,AGHEM,ɔ,Niger-Congo
aghe1239,AGHEM,s,Niger-Congo
aghe1239,AGHEM,t,Niger-Congo
aghe1239,AGHEM,ts,Niger-Congo
aghe1239,AGHEM,t̠ʃ,Niger-Congo
aghe1239,AGHEM,u,Niger-Congo
aghe1239,AGHEM,ʊ,Niger-Congo
aghe1239,AGHEM,w,Niger-Congo
aghe1239,AGHEM,z,Niger-Congo
aghe1239,AGHEM,ʔ,Niger-Congo
apro1235,AIZI,a,Niger-Congo
apro1235,AIZI,b,Niger-Congo
apro1235,AIZI,ɓ,Niger-Congo
apro1235,AIZI,c,Niger-Congo
apro1235,AIZI,d,Niger-Congo
apro1235,AIZI,e,Niger-Congo
apro1235,AIZI,ɛ,Niger-Congo
apro1235,AIZI,f,Niger-Congo
apro1235,AIZI,ɡ,Niger-Congo
apro1235,AIZI,ɡb,Niger-Congo
apro1235,AIZI,i,Niger-Congo
apro1235,AIZI,ɪ,Niger-Congo
apro1235,AIZI,j,Niger-Congo
apro1235,AIZI,ɟ,Niger-Congo
apro1235,AIZI,k,Niger-Congo
apro1235,AIZI,kp,Niger-Congo
apro1235,AIZI,l,Niger-Congo
apro1235,AIZI,m,Niger-Congo
