Glottocode,LanguageName,Phoneme,affiliation
amha1245,AMHARIC,j,Afro-Asiatic
amha1245,AMHARIC,k,Afro-Asiatic
amha1245,AMHARIC,kʷ,Afro-Asiatic
amha1245,AMHARIC,kʷʼ,Afro-Asiatic
amha1245,AMHARIC,kʼ,Afro-Asiatic
amha1245,AMHARIC,l̪|l,Afro-Asiatic
amha1245,AMHARIC,m,Afro-Asiatic
amha1245,AMHARIC,n̪|n,Afro-Asiatic
amha1245,AMHARIC,ɲ,Afro-Asiatic
amha1245,AMHARIC,o̞,Afro-Asiatic
amha1245,AMHARIC,p,Afro-Asiatic
amha1245,AMHARIC,pʼ,Afro-Asiatic
amha1245,AMHARIC,ɾ,Afro-Asiatic
amha1245,AMHARIC,s̪|s,Afro-Asiatic
amha1245,AMHARIC,s̪ʷ|sʷ,Afro-Asiatic
amha1245,AMHARIC,ʃ,Afro-Asiatic
amha1245,AMHARIC,t̪|t,Afro-Asiatic
amha1245,AMHARIC,t̠ʃ,Afro-Asiatic
amha1245,AMHARIC,t̠ʃʼ,Afro-Asiatic
amha1245,AMHARIC,t̪ʼ|tʼ,Afro-Asiatic
amha1245,AMHARIC,u,Afro-Asiatic
amha1245,AMHARIC,w,Afro-Asiatic
amha1245,AMHARIC,z̪|z,Afro-Asiatic
amha1245,AMHARIC,ʒ,Afro-Asiatic
amoo1242,AMO,a,Niger-Congo
amoo1242,AMO,ɐ,Niger-Congo
amoo1242,AMO,b,Niger-Congo
amoo1242,AMO,d,Niger-Congo
amoo1242,AMO,d̠ʒ,Niger-Congo
amoo1242,AMO,e,Niger-Congo
amoo1242,AMO,ɛ,Niger-Congo
amoo1242,AMO,f,Niger-Congo
amoo1242,AMO,ɡ,Niger-Congo
amoo1242,AMO,ɡb,Niger-Congo
amoo1242,AMO,h,Niger-Congo
amoo1242,AMO,i,Niger-Congo
amoo1242,AMO,ɪ,Niger-Congo
amoo1242,AMO,j,Niger-Congo
amoo1242,AMO,k,Niger-Congo
amoo1242,AMO,kp,Niger-Congo
amoo1242,AMO,l,Niger-Congo
amoo1242,AMO,m,Niger-Congo
amoo1242,AMO,n,Niger-Congo
amoo1242,AMO,ɲ,Niger-Congo
amoo1242,AMO,ŋ,Niger-Congo
amoo1242,AMO,o,Niger-Congo
amoo1242,AMO,ɔ,Niger-Congo
amoo1242,AMO,p,Niger-Congo
amoo1242,AMO,r,Niger-Congo
amoo1242,AMO,s,Niger-Congo
amoo1242,AMO,ʃ,Niger-Congo
amoo1242,AMO,t,Niger-Congo
amoo1242,AMO,ts,Niger-Congo
amoo1242,AMO,t̠ʃ,Niger-Congo
amoo1242,AMO,u,Niger-Congo
amoo1242,AMO,ʊ,Niger-Congo
amoo1242,AMO,v,Niger-Congo
amoo1242,AMO,w,Niger-Congo
amoo1242,AMO,z,Niger-Congo
alam1246,ALAMBLAK,a,Sepik
alam1246,ALAMBLAK,b,Sepik
alam1246,ALAMBLAK,d,Sepik
alam1246,ALAMBLAK,d̠ʒ,Sepik
alam1246,ALAMBLAK,ᴅ,Sepik
alam1246,ALAMBLAK,e̞,Sepik
alam1246,ALAMBLAK,ə,Sepik
alam1246,ALAMBLAK,ɡ,Sepik
alam1246,ALAMBLAK,i,Sepik
alam1246,ALAMBLAK,ɨ,Sepik
alam1246,ALAMBLAK,j,Sepik
alam1246,ALAMBLAK,kʰ,Sepik
alam1246,ALAMBLAK,m,Sepik
alam1246,ALAMBLAK,n,Sepik
alam1246,ALAMBLAK,n̠,Sepik
alam1246,ALAMBLAK,o̞,Sepik
alam1246,ALAMBLAK,pʰ,Sepik
alam1246,ALAMBLAK,ɸ,Sepik
alam1246,ALAMBLAK,s,Sepik
alam1246,ALAMBLAK,ʃ,Sepik
alam1246,ALAMBLAK,tʰ,Sepik
alam1246,ALAMBLAK,t̠ʃ,Sepik
alam1246,ALAMBLAK,u,Sepik
alam1246,ALAMBLAK,w,Sepik
alam1246,ALAMBLAK,x,Sepik
guer1243,AMUZGO,a,Otomanguean
guer1243,AMUZGO,ã,Otomanguean
guer1243,AMUZGO,æ,Otomanguean
guer1243,AMUZGO,æ̃,Otomanguean
guer1243,AMUZGO,ɒ,Otomanguean
guer1243,AMUZGO,ɒ̃,Otomanguean
guer1243,AMUZGO,e̞,Otomanguean
guer1243,AMUZGO,ẽ̞,Otomanguean
guer1243,AMUZGO,h,Otomanguean
guer1243,AMUZGO,i,Otomanguean
guer1243,AMUZGO,j,Otomanguean
guer1243,AMUZGO,k,Otomanguean
guer1243,AMUZGO,kʲ,Otomanguean
guer1243,AMUZGO,kʷ,Otomanguean
guer1243,AMUZGO,l,Otomanguean
guer1243,AMUZGO,m,Otomanguean
guer1243,AMUZGO,mb,Otomanguean
guer1243,AMUZGO,n,Otomanguean
guer1243,AMUZGO,n̠,Otomanguean
guer1243,AMUZGO,nd,Otomanguean
guer1243,AMUZGO,n̠d̠,Otomanguean
guer1243,AMUZGO,ŋɡ,Otomanguean
guer1243,AMUZGO,o̞,Otomanguean
guer1243,AMUZGO,õ̞,Otomanguean
guer1243,AMUZGO,p,Otomanguean
guer1243,AMUZGO,r,Otomanguean
guer1243,AMUZGO,ɾ,Otomanguean
guer1243,AMUZGO,s,Otomanguean
guer1243,AMUZGO,ʃ,Otomanguean
guer1243,AMUZGO,t,Otomanguean
guer1243,AMUZGO,t̠,Otomanguean
guer1243,AMUZGO,ts,Otomanguean
guer1243,AMUZGO,t̠ʃ,Otomanguean
guer1243,AMUZGO,u,Otomanguean
guer1243,AMUZGO,w,Otomanguean
